70904723,0,NewHeight,2,0
70904723,0,NewRound,1,0
70904723,0,Propose,0,0
70904723,0,Prevote,2,1
70904723,0,Precommit,6,0
70904723,0,Commit,5,0
70905224,0,NewHeight,8,1
70905224,0,Prevote,34,1
70905224,0,Precommit,9,0
70905224,0,Commit,6,0
70905225,0,NewHeight,0,0
70905225,0,Prevote,6,1
70905225,0,Precommit,4,0
70905225,0,Commit,3,0
70905249,0,NewHeight,1,0
70905249,0,NewRound,2,0
70905249,0,Propose,0,0
70905249,0,Prevote,1,1
70905249,0,Precommit,8,0
70905249,0,Commit,2,0
70905251,0,NewHeight,1,0
70905251,0,NewRound,1,0
70905251,0,Propose,0,0
70905251,0,Prevote,2,1
70905251,0,Precommit,8,0
70905251,0,Commit,2,0
70905252,0,NewHeight,1,0
70905252,0,NewRound,1,0
70905252,0,Propose,0,0
70905252,0,Prevote,1,1
70905252,0,Precommit,9,0
70905252,0,Commit,3,0
70905257,0,NewHeight,1,0
70905257,0,NewRound,3,0
70905257,0,Propose,0,0
70905257,0,Prevote,1,1
70905257,0,Precommit,4,0
70905257,0,Commit,3,0
70905258,0,NewHeight,0,0
70905258,0,NewRound,1,0
70905258,0,Propose,0,0
70905258,0,Prevote,2,1
70905258,0,Precommit,6,0
70905258,0,Commit,6,0
70905279,0,NewHeight,1,0
70905279,0,NewRound,1,0
70905279,0,Propose,0,0
70905279,0,Prevote,1,1
70905279,0,Precommit,7,0
70905279,0,Commit,3,0
70905282,0,NewHeight,0,0
70905282,0,Prevote,8,1
70905282,0,Precommit,7,0
70905282,0,Commit,2,0
70905283,0,NewHeight,0,0
70905283,0,NewRound,1,0
70905283,0,Propose,0,0
70905283,0,Prevote,1,1
70905283,0,Precommit,9,0
70905283,0,Commit,3,0
70905288,0,NewHeight,0,0
70905288,0,NewRound,1,0
70905288,0,Propose,0,0
70905288,0,Prevote,1,1
70905288,0,PrevoteWait,10,0
70905288,0,Precommit,0,0
70905288,0,Commit,4,0
70905289,0,NewHeight,1,0
70905289,0,NewRound,2,0
70905289,0,Propose,0,0
70905289,0,Prevote,1,1
70905289,0,Precommit,8,0
70905289,0,Commit,3,0
70905292,0,NewHeight,1,0
70905292,0,NewRound,1,0
70905292,0,Propose,0,0
70905292,0,Prevote,12,2
70905292,0,PrevoteWait,20,0
70905292,0,Precommit,0,0
70905292,0,Commit,1,0
70905293,0,NewHeight,1,0
70905293,0,NewRound,0,0
70905293,0,Propose,0,0
70905293,0,Prevote,4,1
70905293,0,Precommit,6,0
70905293,0,Commit,1,0
70905298,0,NewHeight,0,0
70905298,0,NewRound,3,0
70905298,0,Propose,0,0
70905298,0,Prevote,1,1
70905298,0,PrevoteWait,11,0
70905298,0,Precommit,0,0
70905298,0,Commit,4,0
70905299,0,NewHeight,0,0
70905299,0,NewRound,1,0
70905299,0,Propose,0,0
70905299,0,Prevote,1,1
70905299,0,Precommit,10,0
70905299,0,Commit,1,0
70905300,0,NewHeight,0,0
70905300,0,NewRound,2,0
70905300,0,Propose,0,0
70905300,0,Prevote,1,1
70905300,0,PrevoteWait,8,0
70905300,0,Precommit,0,0
70905300,0,Commit,6,0
70905301,0,NewHeight,0,0
70905301,0,NewRound,1,0
70905301,0,Propose,0,0
70905301,0,Prevote,1,1
70905301,0,Precommit,10,0
70905301,0,Commit,1,0
70905302,0,NewHeight,0,0
70905302,0,NewRound,3,0
70905302,0,Propose,0,0
70905302,0,Prevote,3,2
70905302,0,PrevoteWait,21,0
70905302,0,Precommit,0,0
70905302,0,Commit,8,0
70905308,0,NewHeight,1,0
70905308,0,NewRound,1,0
70905308,0,Propose,0,0
70905308,0,Prevote,8,2
70905308,0,Precommit,15,0
70905308,0,Commit,2,0
70905309,0,NewHeight,1,0
70905309,0,NewRound,0,0
70905309,0,Propose,0,0
70905309,0,Prevote,3,1
70905309,0,Precommit,8,0
70905309,0,Commit,1,0
70905311,0,NewHeight,0,0
70905311,0,NewRound,1,0
70905311,0,Propose,0,0
70905311,0,Prevote,4,2
70905311,0,Precommit,18,0
70905311,0,Commit,8,0
70905336,0,NewHeight,2,0
70905336,0,NewRound,2,0
70905336,0,Propose,0,0
70905336,0,Prevote,2,1
70905336,0,Precommit,7,0
70905336,0,Commit,0,0
70905337,0,NewHeight,0,0
70905337,0,NewRound,2,0
70905337,0,Propose,0,0
70905337,0,Prevote,1,1
70905337,0,Precommit,6,0
70905337,0,Commit,0,0
70905365,0,NewHeight,2,0
70905365,0,NewRound,2,0
70905365,0,Propose,0,0
70905365,0,Prevote,10,2
70905365,0,PrevoteWait,11,0
70905365,0,Precommit,0,0
70905365,0,Commit,4,0
70905366,0,NewHeight,3,0
70905366,0,NewRound,0,0
70905366,0,Propose,0,0
70905366,0,Prevote,2,1
70905366,0,Precommit,7,0
70905366,0,Commit,0,0
70905379,0,NewHeight,0,0
70905379,0,NewRound,1,0
70905379,0,Propose,0,0
70905379,0,Prevote,1,1
70905379,0,Precommit,7,0
70905379,0,Commit,5,0
70905382,0,NewHeight,0,0
70905382,0,NewRound,3,0
70905382,0,Propose,0,0
70905382,0,Prevote,1,1
70905382,0,Precommit,6,0
70905382,0,Commit,3,0
70905383,0,NewHeight,0,0
70905383,0,NewRound,2,0
70905383,0,Propose,0,0
70905383,0,Prevote,1,1
70905383,0,Precommit,7,0
70905383,0,Commit,1,0
70905389,0,NewHeight,1,0
70905389,0,NewRound,2,0
70905389,0,Propose,0,0
70905389,0,Prevote,1,1
70905389,0,Precommit,4,0
70905389,0,Commit,2,0
70905390,0,NewHeight,0,0
70905390,0,NewRound,1,0
70905390,0,Propose,0,0
70905390,0,Prevote,1,1
70905390,0,Precommit,8,0
70905390,0,Commit,4,0
70905391,0,NewHeight,1,0
70905391,0,NewRound,1,0
70905391,0,Propose,0,0
70905391,0,Prevote,1,1
70905391,0,Precommit,6,0
70905391,0,Commit,5,0
70905405,0,NewHeight,1,0
70905405,0,NewRound,1,0
70905405,0,Propose,0,0
70905405,0,Prevote,2,1
70905405,0,Precommit,6,0
70905405,0,Commit,1,0
70905406,0,NewHeight,2,0
70905406,0,NewRound,0,0
70905406,0,Propose,0,0
70905406,0,Prevote,3,1
70905406,0,PrevoteWait,7,0
70905406,0,Precommit,0,0
